escenario_label,ahorro_bruto,ahorro_neto,ahorro_ajustado_riesgo,var_95,valor_descontado,valor_downside,coste_retraso_12m
CAPEX Mayor,19909134.712584138,10460747.75311874,7505826.166522953,2954921.5865957886,19053656.529113427,8508727.191979699,9003474.002807664
Optimización de Parámetros de Proceso,9366310.6185468,6962512.391411338,4970959.4326526625,1991552.958758675,25716943.115553394,17381391.377914812,6383015.01970617
Quick Wins Operativos,6073835.457487859,5525238.791029158,3963147.581550967,1562091.209478191,23906465.898944072,17053627.43809643,5166585.16739055
Mantenimiento y Restauración de Performance,6235953.236014715,4910522.358634406,3500405.8563972386,1410116.502237167,19205392.963102013,13247244.484753555,4519597.053098796
Reducción de Scrap/Reproceso,277447.8160427294,182610.9680151556,126150.87458943203,56460.09342572358,-62227.332297925735,-307624.67116817756,170083.69991137565
